id,DT,NFC,SM
P-0601,0.01,0.63,0.09
P-0602,0.01,0.43,0.29
P-0603,0.01,0.65,0.33
P-0604,0.01,0.70,0.22
P-0605,0.01,0.43,0.21
P-0606,0.01,0.54,0.16
P-0607,0.01,0.48,0.29
P-0608,0.01,0.40,0.12
P-0609,0.01,0.60,0.10
P-0610,0.01,0.42,0.17
P-0611,0.01,0.61,0.01
P-0612,0.01,0.62,0.45
P-0613,0.01,0.26,0.01
P-0614,0.01,0.34,0.17
P-0615,0.01,0.47,0.28
P-0616,0.01,0.27,0.12
P-0617,0.01,0.41,0.01
P-0618,0.01,0.31,0.24
P-0619,0.01,0.32,0.05
P-0620,0.01,0.69,0.16
P-0621,0.01,0.30,0.02
P-0622,0.01,0.43,0.32
P-0623,0.01,0.61,0.15
P-0624,0.01,0.61,0.37
P-0625,0.01,0.53,0.01
P-0626,0.01,0.49,0.15
P-0627,0.01,0.53,0.08
P-0628,0.01,0.63,0.24
P-0629,0.01,0.33,0.26
P-0630,0.01,0.73,0.25
P-0631,0.01,0.60,0.56
P-0632,0.01,0.59,0.36
P-0633,0.01,0.44,0.24
P-0634,0.01,0.21,0.26
P-0635,0.01,0.60,0.21
P-0636,0.01,0.35,0.20
P-0637,0.01,0.70,0.02
P-0638,0.01,0.40,0.36
P-0639,0.01,0.47,0.09
P-0640,0.01,0.34,0.01
P-0641,0.01,0.38,0.09
P-0642,0.01,0.50,0.01
P-0643,0.01,0.21,0.14
P-0644,0.01,0.45,0.24
P-0645,0.01,0.58,0.22
P-0646,0.01,0.66,0.21
P-0647,0.01,0.46,0.30
P-0648,0.01,0.57,0.19
P-0649,0.01,0.37,0.15
P-0650,0.01,0.20,0.17
P-0651,0.01,0.48,0.20
P-0652,0.01,0.18,0.01
P-0653,0.01,0.56,0.20
P-0654,0.01,0.48,0.22
P-0655,0.01,0.28,0.23
P-0656,0.08,0.29,0.18
P-0657,0.01,0.44,0.19
P-0658,0.01,0.34,0.01
P-0659,0.01,0.56,0.04
P-0660,0.01,0.51,0.22
P-0661,0.01,0.42,0.48
P-0662,0.01,0.43,0.06
P-0663,0.01,0.47,0.27
P-0664,0.01,0.69,0.25
P-0665,0.01,0.37,0.22
P-0666,0.01,0.61,0.12
P-0667,0.01,0.33,0.17
P-0668,0.01,0.49,0.04
P-0669,0.01,0.61,0.20
P-0670,0.01,0.41,0.20
P-0671,0.01,0.49,0.05
P-0672,0.01,0.56,0.09
P-0673,0.01,0.56,0.18
P-0674,0.01,0.45,0.28
P-0675,0.01,0.33,0.14
P-0676,0.01,0.38,0.23
P-0677,0.01,0.32,0.20
P-0678,0.01,0.62,0.39
P-0679,0.01,0.44,0.18
P-0680,0.01,0.64,0.47
P-0681,0.01,0.41,0.04
P-0682,0.01,0.48,0.01
P-0683,0.01,0.41,0.10
P-0684,0.01,0.80,0.45
P-0685,0.01,0.33,0.07
P-0686,0.01,0.24,0.30
P-0687,0.01,0.39,0.16
P-0688,0.01,0.72,0.13
P-0689,0.01,0.54,0.18
P-0690,0.01,0.19,0.20
P-0691,0.01,0.55,0.20
P-0692,0.01,0.61,0.34
P-0693,0.01,0.52,0.04
P-0694,0.01,0.64,0.27
P-0695,0.01,0.50,0.23
P-0696,0.08,0.58,0.23
P-0697,0.01,0.66,0.30
P-0698,0.01,0.56,0.34
P-0699,0.01,0.31,0.01
P-0700,0.01,0.36,0.29
P-0701,0.01,0.80,0.39
P-0702,0.01,0.53,0.27
P-0703,0.01,0.61,0.29
P-0704,0.01,0.56,0.18
