id,DT,NFC,SM
P-3001,0.01,0.16,0.01
P-3002,0.01,0.50,0.18
P-3003,0.01,0.47,0.03
P-3004,0.01,0.36,0.08
P-3005,0.01,0.54,0.29
P-3006,0.01,0.34,0.10
P-3007,0.01,0.65,0.23
P-3008,0.01,0.64,0.27
P-3009,0.01,0.55,0.18
P-3010,0.01,0.42,0.42
P-3011,0.01,0.41,0.07
P-3012,0.01,0.43,0.21
P-3013,0.01,0.77,0.17
P-3014,0.01,0.60,0.50
P-3015,0.01,0.29,0.29
P-3016,0.01,0.25,0.01
P-3017,0.01,0.54,0.23
P-3018,0.01,0.56,0.34
P-3019,0.01,0.47,0.33
P-3020,0.01,0.65,0.20
P-3021,0.01,0.62,0.39
P-3022,0.02,0.32,0.24
P-3023,0.01,0.18,0.32
P-3024,0.01,0.49,0.19
P-3025,0.01,0.62,0.11
P-3026,0.01,0.58,0.25
P-3027,0.01,0.61,0.06
P-3028,0.01,0.49,0.12
P-3029,0.01,0.55,0.01
P-3030,0.01,0.55,0.26
P-3031,0.01,0.62,0.21
P-3032,0.01,0.35,0.15
P-3033,0.01,0.36,0.08
P-3034,0.01,0.74,0.16
P-3035,0.01,0.49,0.59
P-3036,0.01,0.43,0.01
P-3037,0.01,0.34,0.16
P-3038,0.01,0.41,0.34
P-3039,0.01,0.61,0.33
P-3040,0.01,0.33,0.11
P-3041,0.01,0.29,0.25
P-3042,0.01,0.57,0.01
P-3043,0.01,0.52,0.28
P-3044,0.01,0.65,0.04
P-3045,0.01,0.64,0.25
P-3046,0.01,0.46,0.16
P-3047,0.01,0.57,0.16
P-3048,0.01,0.45,0.44
P-3049,0.01,0.44,0.17
P-3050,0.01,0.41,0.36
P-3051,0.01,0.45,0.16
P-3052,0.01,0.48,0.20
P-3053,0.01,0.41,0.10
P-3054,0.01,0.67,0.33
P-3055,0.04,0.10,0.12
P-3056,0.01,0.50,0.15
P-3057,0.01,0.42,0.12
P-3058,0.01,0.48,0.39
P-3059,0.01,0.53,0.16
P-3060,0.01,0.56,0.16
P-3061,0.01,0.44,0.09
P-3062,0.01,0.44,0.01
P-3063,0.01,0.38,0.31
P-3064,0.01,0.37,0.02
P-3065,0.01,0.35,0.14
P-3066,0.01,0.49,0.21
P-3067,0.01,0.61,0.12
P-3068,0.01,0.71,0.39
P-3069,0.01,0.77,0.29
P-3070,0.01,0.29,0.19
P-3071,0.01,0.45,0.18
P-3072,0.01,0.47,0.35
P-3073,0.01,0.71,0.32
P-3074,0.01,0.52,0.05
P-3075,0.01,0.69,0.25
P-3076,0.01,0.70,0.21
P-3077,0.01,0.40,0.11
P-3078,0.01,0.53,0.17
P-3079,0.01,0.60,0.27
P-3080,0.01,0.63,0.19
P-3081,0.01,0.55,0.01
P-3082,0.01,0.62,0.46
P-3083,0.01,0.50,0.07
P-3084,0.01,0.65,0.34
P-3085,0.01,0.26,0.13
P-3086,0.01,0.31,0.06
P-3087,0.01,0.35,0.20
P-3088,0.01,0.44,0.01
P-3089,0.01,0.64,0.20
P-3090,0.01,0.78,0.19
P-3091,0.01,0.19,0.05
P-3092,0.01,0.61,0.10
P-3093,0.01,0.62,0.10
P-3094,0.01,0.38,0.12
P-3095,0.01,0.40,0.01
P-3096,0.01,0.50,0.42
P-3097,0.01,0.67,0.09
P-3098,0.01,0.70,0.14
P-3099,0.01,0.71,0.27
P-3100,0.01,0.52,0.18
P-3101,0.01,0.41,0.18
P-3102,0.01,0.39,0.01
P-3103,0.01,0.58,0.20
P-3104,0.01,0.45,0.01
P-3105,0.01,0.71,0.04
P-3106,0.01,0.55,0.48
P-3107,0.01,0.62,0.14
P-3108,0.01,0.48,0.36
P-3109,0.01,0.52,0.18
P-3110,0.01,0.57,0.20
P-3111,0.01,0.44,0.25
P-3112,0.01,0.37,0.08
P-3113,0.01,0.55,0.09
P-3114,0.01,0.39,0.06
P-3115,0.13,0.28,0.28
P-3116,0.01,0.29,0.07
P-3117,0.01,0.43,0.23
P-3118,0.01,0.25,0.27
P-3119,0.01,0.33,0.33
P-3120,0.01,0.30,0.20
P-3121,0.01,0.46,0.15
P-3122,0.01,0.42,0.15
P-3123,0.01,0.63,0.16
P-3124,0.01,0.57,0.30
P-3125,0.01,0.35,0.50
P-3126,0.01,0.56,0.35
P-3127,0.01,0.48,0.35
P-3128,0.01,0.40,0.25
P-3129,0.01,0.44,0.40
P-3130,0.01,0.82,0.13
P-3131,0.01,0.43,0.15
P-3132,0.01,0.39,0.17
P-3133,0.01,0.42,0.29
P-3134,0.01,0.39,0.15
P-3135,0.01,0.37,0.21
P-3136,0.01,0.46,0.25
P-3137,0.01,0.45,0.07
P-3138,0.01,0.48,0.19
P-3139,0.01,0.48,0.22
P-3140,0.01,0.50,0.01
P-3141,0.01,0.48,0.16
P-3142,0.01,0.67,0.29
P-3143,0.01,0.66,0.22
P-3144,0.01,0.55,0.12
P-3145,0.01,0.64,0.18
P-3146,0.01,0.49,0.12
P-3147,0.01,0.78,0.23
P-3148,0.01,0.66,0.25
P-3149,0.01,0.63,0.07
P-3150,0.01,0.51,0.21
P-3151,0.01,0.41,0.14
P-3152,0.01,0.39,0.13
P-3153,0.01,0.46,0.26
P-3154,0.01,0.66,0.33
P-3155,0.01,0.61,0.32
P-3156,0.01,0.51,0.26
P-3157,0.01,0.64,0.23
P-3158,0.01,0.49,0.03
P-3159,0.01,0.34,0.14
P-3160,0.01,0.41,0.31
P-3161,0.01,0.38,0.01
P-3162,0.01,0.38,0.01
P-3163,0.01,0.47,0.23
P-3164,0.01,0.25,0.23
P-3165,0.01,0.41,0.32
P-3166,0.01,0.59,0.37
P-3167,0.01,0.53,0.16
P-3168,0.01,0.41,0.24
P-3169,0.01,0.47,0.21
P-3170,0.01,0.44,0.11
P-3171,0.01,0.42,0.20
P-3172,0.01,0.55,0.04
P-3173,0.01,0.52,0.31
P-3174,0.01,0.43,0.01
P-3175,0.01,0.54,0.54
P-3176,0.01,0.57,0.38
P-3177,0.01,0.65,0.14
P-3178,0.01,0.48,0.21
P-3179,0.01,0.51,0.03
P-3180,0.01,0.63,0.29
P-3181,0.01,0.44,0.35
P-3182,0.01,0.29,0.01
P-3183,0.01,0.64,0.24
P-3184,0.01,0.58,0.23
P-3185,0.01,0.39,0.20
P-3186,0.01,0.48,0.14
P-3187,0.01,0.77,0.20
P-3188,0.01,0.38,0.08
P-3189,0.01,0.70,0.30
P-3190,0.01,0.34,0.25
P-3191,0.01,0.52,0.16
P-3192,0.01,0.55,0.23
P-3193,0.01,0.50,0.07
P-3194,0.01,0.61,0.27
P-3195,0.01,0.65,0.19
P-3196,0.01,0.51,0.16
P-3197,0.01,0.41,0.10
P-3198,0.01,0.26,0.05
P-3199,0.01,0.60,0.27
P-3200,0.01,0.61,0.38
P-3201,0.01,0.34,0.13
P-3202,0.01,0.30,0.23
P-3203,0.01,0.48,0.06
P-3204,0.01,0.46,0.01
P-3205,0.01,0.46,0.38
P-3206,0.01,0.47,0.01
P-3207,0.01,0.19,0.22
P-3208,0.01,0.46,0.26
P-3209,0.01,0.55,0.20
P-3210,0.01,0.46,0.21
P-3211,0.01,0.44,0.43
P-3212,0.01,0.43,0.28
P-3213,0.01,0.28,0.23
P-3214,0.01,0.64,0.47
P-3215,0.01,0.52,0.18
P-3216,0.01,0.34,0.28
P-3217,0.01,0.39,0.02
P-3218,0.01,0.72,0.28
P-3219,0.01,0.46,0.37
P-3220,0.01,0.37,0.08
P-3221,0.01,0.57,0.27
P-3222,0.01,0.61,0.31
P-3223,0.01,0.51,0.13
P-3224,0.01,0.45,0.35
P-3225,0.01,0.58,0.05
P-3226,0.01,0.50,0.20
P-3227,0.01,0.70,0.57
P-3228,0.01,0.51,0.07
P-3229,0.01,0.46,0.14
P-3230,0.01,0.40,0.26
P-3231,0.01,0.66,0.01
P-3232,0.01,0.55,0.33
P-3233,0.01,0.61,0.15
P-3234,0.01,0.28,0.02
P-3235,0.01,0.54,0.15
P-3236,0.01,0.58,0.38
P-3237,0.01,0.51,0.38
P-3238,0.01,0.69,0.31
P-3239,0.01,0.52,0.21
P-3240,0.01,0.52,0.19
P-3241,0.01,0.49,0.36
P-3242,0.01,0.59,0.39
P-3243,0.01,0.62,0.32
P-3244,0.01,0.37,0.22
P-3245,0.01,0.28,0.01
P-3246,0.01,0.62,0.33
P-3247,0.01,0.57,0.28
P-3248,0.01,0.12,0.01
P-3249,0.01,0.54,0.15
P-3250,0.01,0.57,0.24
P-3251,0.01,0.58,0.01
P-3252,0.01,0.43,0.04
P-3253,0.01,0.58,0.11
P-3254,0.01,0.40,0.15
P-3255,0.01,0.57,0.16
P-3256,0.01,0.69,0.38
P-3257,0.01,0.73,0.27
P-3258,0.01,0.46,0.28
P-3259,0.01,0.60,0.27
P-3260,0.01,0.76,0.28
P-3261,0.01,0.23,0.35
P-3262,0.01,0.33,0.25
P-3263,0.01,0.59,0.04
P-3264,0.01,0.46,0.33
P-3265,0.01,0.55,0.15
P-3266,0.01,0.54,0.17
P-3267,0.01,0.43,0.01
P-3268,0.01,0.32,0.01
P-3269,0.01,0.39,0.27
P-3270,0.01,0.40,0.16
P-3271,0.01,0.35,0.01
P-3272,0.01,0.49,0.05
P-3273,0.01,0.53,0.41
P-3274,0.01,0.55,0.15
P-3275,0.01,0.77,0.48
P-3276,0.01,0.48,0.30
P-3277,0.01,0.43,0.03
P-3278,0.01,0.33,0.12
P-3279,0.01,0.58,0.10
P-3280,0.01,0.51,0.11
